DateTime,competition,category,name,team,team.abb,score,born
1/8/2017,Invitational Figures San Francisco,13-15,"CHAO, EMILY",Santa Clara Aquamaids,SCA,61.5333,
1/8/2017,Invitational Figures San Francisco,13-15,"CRAIG, EMMA",Santa Clara Aquamaids,SCA,61.0222,
1/8/2017,Invitational Figures San Francisco,13-15,"HOLMES, RACHEL",Santa Clara Aquamaids,SCA,60.9407,
1/8/2017,Invitational Figures San Francisco,13-15,"TANG, OLIVIA",Walnut Creek Aquanuts,WCA,60.1037,
1/8/2017,Invitational Figures San Francisco,13-15,"VOLKOV, NATALIE",Walnut Creek Aquanuts,WCA,59.9556,
1/8/2017,Invitational Figures San Francisco,13-15,"KEARSLEY, HAILEY",Walnut Creek Aquanuts,WCA,59.8149,
1/8/2017,Invitational Figures San Francisco,13-15,"HOLMES, BRIANNA",Santa Clara Aquamaids,SCA,59.5778,
1/8/2017,Invitational Figures San Francisco,13-15,"PESTERNIKOVA, SASHA",Walnut Creek Aquanuts,WCA,59.2741,
1/8/2017,Invitational Figures San Francisco,13-15,"HANDLERS, EVA",Walnut Creek Aquanuts,WCA,58.4889,
1/8/2017,Invitational Figures San Francisco,13-15,"MEANG, DYEON",Sacramento Synchronized Swim,SSS,58.4741,
1/8/2017,Invitational Figures San Francisco,13-15,"GAST, SOPHIA",Redwood Empire Aquastars,RES,58.163,
1/8/2017,Invitational Figures San Francisco,13-15,"FLORESCA, JAZMINE",Santa Clara Aquamaids,SCA,58.1408,
1/8/2017,Invitational Figures San Francisco,13-15,"CHEN, NAOMI",Santa Clara Aquamaids,SCA,57.7481,
1/8/2017,Invitational Figures San Francisco,13-15,"O'NEIL, ATIRA",Walnut Creek Aquanuts,WCA,57.2963,
1/7/2018,Invitational Figures San Francisco,11-12,"MOORE, EMMA",Walnut Creek Aquanuts,WCA,61.551,
1/7/2018,Invitational Figures San Francisco,11-12,"OVADIA, DALIA",Walnut Creek Aquanuts,WCA,61.4583,
1/7/2018,Invitational Figures San Francisco,11-12,"BONACORSO, GIANNA",Santa Clara Aquamaids,SCA,60.0186,
1/7/2018,Invitational Figures San Francisco,11-12,"DANIEL, PERRY",Santa Clara Aquamaids,SCA,58.3056,
1/7/2018,Invitational Figures San Francisco,11-12,"KAWAKAMI, CARMEN",Walnut Creek Aquanuts,WCA,57.3889,
1/7/2018,Invitational Figures San Francisco,11-12,"WOELFEL, MORGAN",Walnut Creek Aquanuts,WCA,56.8796,
1/7/2018,Invitational Figures San Francisco,11-12,"ZHAI, LINA",Santa Clara Aquamaids,SCA,56.3843,
1/7/2018,Invitational Figures San Francisco,11-12,"CHEONG, ALISSA",Santa Clara Aquamaids,SCA,56.0417,
1/7/2018,Invitational Figures San Francisco,11-12,"BEGOSSI, MAKO",Walnut Creek Aquanuts,WCA,56.0232,
1/7/2018,Invitational Figures San Francisco,11-12,"ALEXANDER, ZAHRA",Redwood Empire Aquastars,RES,54.3935,
1/7/2018,Invitational Figures San Francisco,11-12,"LI, SHERRY",Santa Clara Aquamaids,SCA,54.3889,
1/7/2018,Invitational Figures San Francisco,11-12,"O'NEIL, AYLA",Walnut Creek Aquanuts,WCA,54.2778,
1/7/2018,Invitational Figures San Francisco,11-12,"XUE, KAREN",Walnut Creek Aquanuts,WCA,53.6667,
1/7/2018,Invitational Figures San Francisco,11-12,"BARRY, AYLA",Santa Clara Aquamaids,SCA,53.6296,
1/7/2018,Invitational Figures San Francisco,11-12,"IP, HANNAH",Santa Clara Aquamaids,SCA,53.5046,
1/7/2018,Invitational Figures San Francisco,11-12,"KANG, MINJOO",Santa Clara Aquamaids,SCA,53.4399,
1/7/2018,Invitational Figures San Francisco,11-12,"YUAN, ELLA",Santa Clara Aquamaids,SCA,52.9538,
1/7/2018,Invitational Figures San Francisco,11-12,"KIM, ERIN",Walnut Creek Aquanuts,WCA,52.8611,
1/7/2018,Invitational Figures San Francisco,11-12,"DAVITIANI, CHLOE",Walnut Creek Aquanuts,WCA,52.5185,
1/7/2018,Invitational Figures San Francisco,11-12,"DIRVEN, JANNEKE",Santa Clara Aquamaids,SCA,51.0881,
1/7/2018,Invitational Figures San Francisco,11-12,"CHU, AVA",Walnut Creek Aquanuts,WCA,50.9861,
1/7/2018,Invitational Figures San Francisco,11-12,"ZEIPH, JOSIE",Walnut Creek Aquanuts,WCA,50.9399,
1/7/2018,Invitational Figures San Francisco,11-12,"INGERSOL, MAXINA",Walnut Creek Aquanuts,WCA,49.8982,
1/7/2018,Invitational Figures San Francisco,11-12,"ZHENG, CLAIRE",Santa Clara Aquamaids,SCA,49.8797,
1/7/2018,Invitational Figures San Francisco,11-12,"WANG, HOPE",Santa Clara Aquamaids,SCA,49.6435,
1/7/2018,Invitational Figures San Francisco,11-12,"LI, KRYSTAL",Santa Clara Aquamaids,SCA,49.426,
1/7/2018,Invitational Figures San Francisco,11-12,"BLACKWELL, MORGAN",Walnut Creek Aquanuts,WCA,48.3935,
1/7/2018,Invitational Figures San Francisco,11-12,"DELLIGATTI, AMALEE",Walnut Creek Aquanuts,WCA,48.2083,
1/7/2018,Invitational Figures San Francisco,11-12,"DELLIGATTI, ALESSANDRA",Walnut Creek Aquanuts,WCA,48.0742,
1/7/2018,Invitational Figures San Francisco,11-12,"NOZUE, MANA",Walnut Creek Aquanuts,WCA,48.0232,
1/7/2018,Invitational Figures San Francisco,11-12,"KRACHT, KATHRYN",Walnut Creek Aquanuts,WCA,47.6713,
1/7/2018,Invitational Figures San Francisco,11-12,"CHANDRASEKARAN, GEETHA",Walnut Creek Aquanuts,WCA,47.0232,
1/7/2018,Invitational Figures San Francisco,11-12,"ANGELOVA, IVANA",Santa Clara Aquamaids,SCA,45.5093,
1/7/2018,Invitational Figures San Francisco,11-12,"MEI, MAGGIE",Walnut Creek Aquanuts,WCA,44.3704,
1/7/2018,Invitational Figures San Francisco,11-12,"KWOK, ZOE",Santa Clara Aquamaids,SCA,44.2268,
1/7/2018,Invitational Figures San Francisco,11-12,"MINEYEVA, DIANA",Walnut Creek Aquanuts,WCA,43.9306,
1/7/2018,Invitational Figures San Francisco,11-12,"VETROVA, ARINA",Santa Clara Aquamaids,SCA,43.8657,
1/7/2018,Invitational Figures San Francisco,11-12,"KIM, JEANNIE",Santa Clara Aquamaids,SCA,43.0972,
1/7/2018,Invitational Figures San Francisco,11-12,"LAI, VANESSA",Santa Clara Aquamaids,SCA,40.9119,
1/7/2018,Invitational Figures San Francisco,11-12,"MAENG, ERIN",Sacramento Synchronized Swim,SSS,34.7639,
1/7/2018,Invitational Figures San Francisco,11-12,"CERRUTI, SAMANTHA",Walnut Creek Aquanuts,WCA,33.3889,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"ZEIPH, JOSIE",Walnut Creek Aquanuts,WCA,53.4885,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"KIM, ERIN",Walnut Creek Aquanuts,WCA,52.4364,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"CHU, AVA",Walnut Creek Aquanuts,WCA,50.6656,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"DELLIGATTI, ALESSANDRA",Walnut Creek Aquanuts,WCA,49.7674,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"IYER, Ilina",Walnut Creek Aquanuts,WCA,49.2732,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"PHAN, Maddie",Walnut Creek Aquanuts,WCA,49.2696,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"DOUGLAS, Kate",Walnut Creek Aquanuts,WCA,49.0914,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"INGERSOL, Maxina",Walnut Creek Aquanuts,WCA,48.6806,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"NOZUE, Mana",Walnut Creek Aquanuts,WCA,47.9618,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"ALLEN, Kayla",ROCKY MOUNTAIN SPLASH,RMS,47.8808,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"MINEYEVA, Diana",Walnut Creek Aquanuts,WCA,47.8669,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"CHANDRASEKARAN, GEETHA",Walnut Creek Aquanuts,WCA,47.8171,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"HARRIMAN, Lana",RIVERSIDE AQUETTES,,47.3957,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"KRACHT, Kathryn",Walnut Creek Aquanuts,WCA,47.2303,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"JOHNSON, Devin",ROCKY MOUNTAIN SPLASH,RMS,47.1354,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"BLACKWELL, Morgan",Walnut Creek Aquanuts,WCA,46.9294,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"JISA, Olivia",ROCKY MOUNTAIN SPLASH,RMS,46.8958,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"HAUPERT, Jojo",Walnut Creek Aquanuts,WCA,46.5718,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"CHOI, Hyein",SAN DIEGUITO SYNCHRO,,46.2489,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"SITUMEANG, Naomita",ROCKY MOUNTAIN SPLASH,RMS,45.0926,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"MEI, Maggie",Walnut Creek Aquanuts,WCA,45.0174,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"BERGLUND, Eliana",ROCKY MOUNTAIN SPLASH,RMS,44.7569,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"YRUNGARAY, Izzy",RIVERSIDE AQUETTES,,44.7465,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"DELLIGATTI, AMALEE",Walnut Creek Aquanuts,WCA,44.7315,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"ACEVEDO, Sofia",Walnut Creek Aquanuts,WCA,44.3901,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"WRITER, Tess",ROCKY MOUNTAIN SPLASH,RMS,44.0197,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"ZURMACHYAN, Alla",SOUTHERN NEVADA DESERT MERMAIDS,,43.6076,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"ANSTIE-CARSON, Zoey",RIVERSIDE AQUETTES,,43.4051,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"BELLET, Moriah",Walnut Creek Aquanuts,WCA,42.8739,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"WANIS, Holy",RIVERSIDE AQUETTES,,42.5799,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"YAO, Angie",Walnut Creek Aquanuts,WCA,42.5601,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"KWAN, Bella",RIVERSIDE AQUETTES,,42.3854,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"DESAI, Ela",WESTSIDE AQUATICS SYNCHRO,,42.0556,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"JONES, Carolyn",Walnut Creek Aquanuts,WCA,41.7233,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"CERRUTI, Samantha",Walnut Creek Aquanuts,WCA,41.1413,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"ZAKY, Gloria",RIVERSIDE AQUETTES,,40.5868,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"SHIRAYAYEV, Cianna",Walnut Creek Aquanuts,WCA,39.9249,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"POLLARD, Sakari",RIVERSIDE AQUETTES,,39.684,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"SCHNORE, Reagan",RIVERSIDE AQUETTES,,38.6343,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"OLSON, Isabella",RIVERSIDE AQUETTES,,38.2939,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"ALEKSEIEVYCH, Kira",Walnut Creek Aquanuts,WCA,36.5325,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"LA SCALA, Emilie",SOUTHERN NEVADA DESERT MERMAIDS,,35.9804,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"SANCHEZ, Analee",RIVERSIDE AQUETTES,,34.4225,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"MANUEL, Sophia",SOUTHERN NEVADA DESERT MERMAIDS,,33.3969,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"KIM, Carina",SOUTHERN NEVADA DESERT MERMAIDS,,33.2488,
3/17/2018,"Orange Blossom Novice, Age Group and Junior Invitational",12 and under,"MERCADO, Maya",RIVERSIDE AQUETTES,,32.4399,
5/19/2018,West Region B championships,11-12,"OVADIA, Dalia",Walnut Creek Aquanuts,WCA,68.0256,
5/19/2018,West Region B championships,11-12,"MOORE, EMMA",Walnut Creek Aquanuts,WCA,67.7511,
5/19/2018,West Region B championships,11-12,"BONACORSO, Gianna",Santa Clara Aquamaids,SCA,66.2107,
5/19/2018,West Region B championships,11-12,"WOELFEL, Morgan",Walnut Creek Aquanuts,WCA,64.8739,
5/19/2018,West Region B championships,11-12,"O'NEIL, Ayla",Walnut Creek Aquanuts,WCA,64.1043,
5/19/2018,West Region B championships,11-12,"KAWAKAMI, Carmen",Walnut Creek Aquanuts,WCA,64.0996,
5/19/2018,West Region B championships,11-12,"DANIEL, Perry",Santa Clara Aquamaids,SCA,63.1239,
5/19/2018,West Region B championships,11-12,"BEGOSSI, Mako",Walnut Creek Aquanuts,WCA,62.8485,
5/19/2018,West Region B championships,11-12,"DAVITIANI, CHLOE",Walnut Creek Aquanuts,WCA,62.4653,
5/19/2018,West Region B championships,11-12,"KANG, Alice",Santa Clara Aquamaids,SCA,62.4282,
5/19/2018,West Region B championships,11-12,"IP, Hannah",Santa Clara Aquamaids,SCA,62.1921,
5/19/2018,West Region B championships,11-12,"LI, Sherry",Santa Clara Aquamaids,SCA,61.7013,
5/19/2018,West Region B championships,11-12,"ZHAI, Lina",Santa Clara Aquamaids,SCA,61.0868,
5/19/2018,West Region B championships,11-12,"CHEONG, Alissa",Santa Clara Aquamaids,SCA,60.8633,
5/19/2018,West Region B championships,11-12,"DIRVEN, Janneke",Santa Clara Aquamaids,SCA,60.0069,
5/19/2018,West Region B championships,11-12,"XUE, KAREN",Walnut Creek Aquanuts,WCA,59.9514,
5/19/2018,West Region B championships,11-12,"BARRY, Ayla",Santa Clara Aquamaids,SCA,59.5428,
5/19/2018,West Region B championships,11-12,"YUAN, Ella",Santa Clara Aquamaids,SCA,59.2338,
5/19/2018,West Region B championships,11-12,"CHANDRASEKARAN, GEETHA",Walnut Creek Aquanuts,WCA,59.0879,
5/19/2018,West Region B championships,11-12,"KIM, ERIN",Walnut Creek Aquanuts,WCA,57.9642,
5/19/2018,West Region B championships,11-12,"LI, Krystal",Santa Clara Aquamaids,SCA,57.794,
5/19/2018,West Region B championships,11-12,"ZEIPH, JOSIE",Walnut Creek Aquanuts,WCA,57.6411,
5/19/2018,West Region B championships,11-12,"CHU, AVA",Walnut Creek Aquanuts,WCA,57.3182,
5/19/2018,West Region B championships,11-12,"DELLIGATTI, ALESSANDRA",Walnut Creek Aquanuts,WCA,56.6632,
5/19/2018,West Region B championships,11-12,"ZHENG, Claire",Santa Clara Aquamaids,SCA,55.846,
5/19/2018,West Region B championships,11-12,"WANG, Hope",Santa Clara Aquamaids,SCA,55.8206,
5/19/2018,West Region B championships,11-12,"KRACHT, Kathryn",Walnut Creek Aquanuts,WCA,55.4781,
